TOOL	MAT_RULE	1.05.01	1.05.02	1713.17ww24f	1713.17ww31e	1713.17ww38c	1713.17ww50f	1713.18ww01e	1713.18ww04b	1713.18ww09c	1713.18ww13d	1713.18ww15g
ace	version_in_MAT	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05	2.05.05
ace_utils		1.01.01	1.01.01	1.01.01	1.01.01	1.01.01	1.01.01	1.01.01	1.01.01	1.01.01	1.01.01	1.01.01
array_dft_audit		15.04.06	15.04.06	15.04.06	15.04.06	15.04.06	15.04.06	15.04.06	15.04.06	15.04.06	15.04.06	15.04.06
baseline_master		1.4.2	1.4.2	1.4.2	1.4.2	1.4.2	1.4.2	1.4.2	1.4.2	1.4.2	1.4.2	1.4.2
caliber		16.04.03	16.04.03	16.04.03	16.04.03	16.04.03	16.04.03	16.04.03	16.04.03	16.04.03	16.04.03	16.04.03
cdclint		16.6.10	16.6.10	16.6.10	16.6.10	17.25.1_beta01	17.25.1_beta01	17.25.1_beta01	17.25.1_beta01	17.25.1_beta01	17.25.1_beta01	17.25.1_beta01
collage	consumer_greater_or_equal	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	4.11	4.11	4.11
configulate		1.0.33	1.0.33	1.0.33.p9	1.0.33.p9	1.0.33.p9	1.0.33.p9	1.0.33.p37	1.0.33.p37	1.0.33.p37	1.0.33.p37	1.0.33.p37
conformal		16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140	16.20-s140
coretools	consumer_greater_or_equal	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7	K-2015.06-SP7
designcompiler	version_in_MAT	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3	L-2016.03-SP3
designware		2014.01	2014.01	2014.01	2014.01	2014.01	2014.01	2014.01	2014.01	2014.01	2014.01	2014.01
