AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0bfn00ln0a5,,,0.36,1.14,,,,
ai0bfn00ln0d0,,,0.45,1.14,,,,
ai0bfn00nn0b5,,,0.472,1.14,,,,
ai0bfn00nn0c0,,,0.45,1.14,,,,
ai0bfn00nn0c3,,,0.45,1.14,,,,
ai0bfn00nn0d0,,,0.45,1.14,,,,
ai0bfn00nn0d3,,,0.54,1.14,,,,
ai0bfn00nn0e0,,,0.54,1.14,,,,
ai0bfn00nn0e3,,,0.54,1.14,,,,
ai0bfn00nn0e5,,,0.54,1.14,,,,
ai0bfn00nn0e7,,,0.54,1.14,,,,
ai0bfn00nn0f0,,,0.63,1.14,,,,
ai0bfn00nn0f3,,,0.72,1.14,,,,
ai0bfn00nn0f5,,,0.72,1.14,,,,
ai0bfn00nn0f7,,,0.81,1.14,,,,
ai0bfn00nn0g0,,,0.81,1.14,,,,
ai0bfn00nn0g3,,,0.9,1.14,,,,
ai0bfn00nn0g5,,,0.99,1.14,,,,
ai0bfn00nn0g7,,,1.08,1.14,,,,
ai0bfn00nn0h0,,,1.35,1.14,,,,
ai0bfn00nn0h3,,,1.44,1.14,,,,
ai0bfn00nn0h5,,,1.53,1.14,,,,
ai0bfn00nn0h7,,,1.8,1.14,,,,
ai0bfn00nn0i0,,,1.98,1.14,,,,
ai0bfn00nn0i5,,,2.61,1.14,,,,
ai0bfn00nn0j0,,,3.24,1.14,,,,
ai0bfn10nn0h5,,,1.62,1.14,,,,
ai0bfn11ln0a0,,,0.36,1.14,,,,
ai0bfn11nn0b0,,,0.45,1.14,,,,
ai0bfn11nn0d0,,,0.54,1.14,,,,
ai0bfn11nn0e0,,,0.63,1.14,,,,
ai0bfn12nn0b0,,,0.54,1.14,,,,
ai0bfn12nn0d0,,,0.63,1.14,,,,
ai0bfn12nn0e0,,,0.9,1.14,,,,
ai0bfn30nn0c0,,,0.45,1.14,,,,
ai0bfn30nn0d0,,,0.54,1.14,,,,
ai0bfn30nn0e0,,,0.54,1.14,,,,
ai0bfn30nn0e5,,,0.63,1.14,,,,
ai0bfn30nn0f0,,,0.81,1.14,,,,
ai0bfn30nn0g0,,,1.08,1.14,,,,
ai0bfn30nn0g5,,,1.35,1.14,,,,
ai0bfn30nn0h0,,,1.71,1.14,,,,
ai0bfn30nn0h5,,,1.89,1.14,,,,
