YG MAJOR,YG MINOR,YG CELL NAME,NOMINAL YG CELL NAME,AI MAJOR,AI MINOR,AI CELL NAME,MAPPING COUNT,LIB,DRAWN OR ESTIMATED,QUALITY,SHORTS/GRID,INTERFACE,X SCALE FACTOR,X GROWTH (PITCHES),Y SCALE FACTOR,LATEST CHECKIN DATE,LATEST CHECKIN OWNER,ORIGINAL CHECKIN DATE,ORIGINAL CHECKIN OWNER,COMMENTS,TOTAL INSTANCES,YG CELL WIDTH,YG CELL HEIGHT,YG CELL AREA,YG INSTANCE AREA,YG POLY PITCHES,YG DEVCOUNT,AI CELL WIDTH,AI CELL HEIGHT,AI POLY PITCHES,CSV GENERATION DATE,INSTANCE SUMMARY,FUB USAGE
yg0ann,yg0ann12ln1,yg0ann12ln1a0,yg0ann12nn1a0,ai0ann,ai0ann12ln0,ai0ann12ln0a0,2,,,,,,,,,,,,,,2,0.58,1.566,0.90828,1.81656,5,5,,,,Fri Dec 12 09:52:19 2008,regf->(2),cbsbfm
yg0ann,yg0ann12ln1,yg0ann12ln1b0,yg0ann12nn1b0,ai0ann,ai0ann12ln0,ai0ann12ln0a0,2,,,,,,,,,,,,,,1,0.58,1.566,0.90828,0.90828,5,5,,,,Fri Dec 12 09:52:19 2008,datap->(1),ifldchainc
yg0ann,yg0ann12ln1,yg0ann12ln1c0,yg0ann12nn1c0,ai0ann,ai0ann12ln0,ai0ann12ln0c0,1,,,,,,,,,,,,,,74,0.58,1.566,0.90828,67.21272,5,5,,,,Fri Dec 12 09:52:19 2008,datap->(72) regf->(2),giopcirpt:mpiorddbd
yg0ann,yg0ann12ln1,yg0ann12ln1d0,yg0ann12nn1d0,ai0ann,ai0ann12ln0,ai0ann12ln0d0,1,,,,,,,,,,,,,,19,0.696,1.566,1.089936,20.708784,6,5,,,,Fri Dec 12 09:52:19 2008,datap->(2) regf->(17),giopcirpt:mpcbodbd:mpiorddbd:mpiowrdbd
yg0ann,yg0ann12ln1,yg0ann12ln1e0,yg0ann12nn1e0,ai0ann,ai0ann12ln0,ai0ann12ln0e0,1,,,,,,,,,,,,,,,0.928,1.566,1.453248,,8,5,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann12ln1,yg0ann12ln1f0,yg0ann12nn1f0,ai0ann,ai0ann12ln0,ai0ann12ln0f0,1,,,,,,,,,,,,,,5,0.928,1.566,1.453248,7.26624,8,10,,,,Fri Dec 12 09:52:19 2008,regf->(5),cbsbfm:mpgdxcd
yg0ann,yg0ann12ln1,yg0ann12ln1g0,yg0ann12nn1g0,ai0ann,ai0ann12ln0,ai0ann12ln0g0,1,,,,,,,,,,,,,,,1.508,1.566,2.361528,,13,14,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann12ln1,yg0ann12ln1h0,yg0ann12nn1h0,ai0ann,ai0ann12ln0,ai0ann12ln0h0,1,,,,,,,,,,,,,,,1.74,1.566,2.72484,,15,17,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann12ln1,yg0ann12ln1i0,yg0ann12nn1i0,ai0ann,ai0ann12ln0,ai0ann12ln0i0,1,,,,,,,,,,,,,,,2.784,1.566,4.359744,,24,29,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann12nn1,yg0ann12nn1a0,yg0ann12nn1a0,ai0ann,ai0ann12nn0,ai0ann12nn0a0,2,,,,,,,,,,,,,,8,0.58,1.566,0.90828,7.26624,5,5,,,,Fri Dec 12 09:52:19 2008,datap->(8),rsbpd
yg0ann,yg0ann12nn1,yg0ann12nn1b0,yg0ann12nn1b0,ai0ann,ai0ann12nn0,ai0ann12nn0a0,2,,,,,,,,,,,,,,,0.58,1.566,0.90828,,5,5,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann12nn1,yg0ann12nn1c0,yg0ann12nn1c0,ai0ann,ai0ann12nn0,ai0ann12nn0c0,1,,,,,,,,,,,,,,216,0.58,1.566,0.90828,196.18848,5,5,,,,Fri Dec 12 09:52:19 2008,regf->(216),rscanc
yg0ann,yg0ann12nn1,yg0ann12nn1d0,yg0ann12nn1d0,ai0ann,ai0ann12nn0,ai0ann12nn0d0,1,,,,,,,,,,,,,,601,0.696,1.566,1.089936,655.051536,6,5,,,,Fri Dec 12 09:52:19 2008,datap->(413) regf->(188),alroxd:cbivpm:dsbofsetm:ifiqc:ifldchainc:rscanc
