CELLNAME,INSTCOUNT,LOWERLEFT_X,LOWERLEFT_Y,WIDTH,HEIGHT,DEVCOUNT,FUBLIST,INSTCOUNT SUMMARY
agm_basic_int_keeper_70ff,256,0,-7830,0.928,1.566,8,agmead,datap->(256)
agm_basic_int_mux_70ff,1536,0,-7830,1.392,1.566,16,agmead,datap->(1536)
agm_basic_int_out_70ff,256,0,-7830,1.392,1.566,18,agmead,datap->(256)
alroxd_yg0non04nn1e5,8,0,-7830,2.552,1.566,29,alroxd,datap->(8)
bpbmglbprchsdl,72,-1160,-7830,1.276,1.566,10,bpbimodalm,regf->(72)
bpglobalminvp5n1_65,256,0,-7830,1.392,1.566,14,bpglobalm,regf->(256)
bpglshna23e0,256,-2320,-7830,0.696,1.566,10,bpglobalm,regf->(256)
bpglshna23g0,56,0,-7830,1.74,1.566,19,bpglobalm,regf->(56)
bpglxnn12nn1f5,14,0,0,1.856,1.566,18,bpglobalm,regf->(14)
bpglxnn12nn1h5,2,0,0,3.596,1.566,52,bpglobalm,regf->(2)
bpitrgglbprchsdl,96,0,-7830,1.16,1.566,9,bpitargetm,regf->(96)
bptgnorfordec,96,0,0,5.452,1.566,54,bptargettagm,regf->(96)
bptgyg0sdl02jn1b5,144,0,-7830,1.624,1.566,10,bptargettagm,regf->(144)
bptgyg0sdl02jn1d5,16,0,0,2.668,1.566,37,bptargettagm,regf->(16)
bptgyg0sdl02jn1e5,128,0,0,3.596,1.566,35,bptargettagm,regf->(128)
bptgyg7nag43nn0e3,1024,-2320,-7830,0.696,1.566,10,bptargettagm,regf->(1024)
bptrgglbprchsdl,344,0,-7830,1.16,1.566,9,bptargettrgm,regf->(344)
buf,2,0,-7830,1.972,1.566,30,mcls,datap->(2)
cbbgor05nn1e7,10,0,-7830,2.204,1.566,17,cbbottomd,datap->(10)
cbbrcbchopper,16,0,-7830,1.392,1.566,14,cbbottomd,datap->(16)
cbbrcborstone,16,0,-7830,1.856,1.566,11,cbbottomd,datap->(16)
cbrcbchopper,18,0,-7830,1.508,1.566,14,cbtopd,datap->(18)
cbrcborstone,18,0,-7830,1.856,1.566,11,cbtopd,datap->(18)
cbtgor05nn1e7,2,0,-7830,2.204,1.566,17,cbtopd,datap->(2)
chop_inv_p156_n08,2,0,-7830,0.58,1.566,6,dcm:sdcm,datap->(2)
chop_inv_p22_n1,2,0,-7830,0.696,1.566,6,dcm:sdcm,datap->(2)
compensator_guard_pn_c__002,26,1160,-7830,0.696,1.566,0,compensatortop:corecompensator:mccompensator:sawcompensator,clk->(2) datap->(24)
