YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0ann12ln1a0,yg0ann12nn1a0,0.58,1.566,5
yg0ann12ln1b0,yg0ann12nn1b0,0.58,1.566,5
yg0ann12ln1c0,yg0ann12nn1c0,0.58,1.566,5
yg0ann12ln1d0,yg0ann12nn1d0,0.696,1.566,5
yg0ann12ln1e0,yg0ann12nn1e0,0.928,1.566,5
yg0ann12ln1f0,yg0ann12nn1f0,0.928,1.566,10
yg0ann12ln1g0,yg0ann12nn1g0,1.508,1.566,14
yg0ann12ln1h0,yg0ann12nn1h0,1.74,1.566,17
yg0ann12ln1i0,yg0ann12nn1i0,2.784,1.566,29
yg0ann12nn1a0,yg0ann12nn1a0,0.58,1.566,5
yg0ann12nn1b0,yg0ann12nn1b0,0.58,1.566,5
yg0ann12nn1c0,yg0ann12nn1c0,0.58,1.566,5
yg0ann12nn1d0,yg0ann12nn1d0,0.696,1.566,5
yg0ann12nn1e0,yg0ann12nn1e0,0.928,1.566,5
yg0ann12nn1f0,yg0ann12nn1f0,0.928,1.566,10
yg0ann12nn1g0,yg0ann12nn1g0,1.508,1.566,14
yg0ann12nn1h0,yg0ann12nn1h0,1.74,1.566,17
yg0ann12nn1i0,yg0ann12nn1i0,2.784,1.566,29
yg0ann92ln1a0,yg0ann92nn1a0,0.58,1.566,5
yg0ann92ln1b0,yg0ann92nn1b0,0.58,1.566,5
yg0ann92ln1c0,yg0ann92nn1c0,0.696,1.566,5
yg0ann92ln1d0,yg0ann92nn1d0,0.696,1.566,5
yg0ann92ln1e0,yg0ann92nn1e0,0.928,1.566,6
yg0ann92ln1f0,yg0ann92nn1f0,1.044,1.566,9
yg0ann92ln1g0,yg0ann92nn1g0,1.044,1.566,12
yg0ann92ln1h0,yg0ann92nn1h0,1.276,1.566,16
yg0ann92ln1i0,yg0ann92nn1i0,2.204,1.566,26
yg0ann92nn1a0,yg0ann92nn1a0,0.58,1.566,5
yg0ann92nn1b0,yg0ann92nn1b0,0.58,1.566,5
yg0ann92nn1c0,yg0ann92nn1c0,0.696,1.566,5
yg0ann92nn1d0,yg0ann92nn1d0,0.696,1.566,5
yg0ann92nn1e0,yg0ann92nn1e0,0.928,1.566,6
yg0ann92nn1f0,yg0ann92nn1f0,1.044,1.566,9
yg0ann92nn1g0,yg0ann92nn1g0,1.044,1.566,12
yg0ann92nn1h0,yg0ann92nn1h0,1.276,1.566,16
yg0ann92nn1i0,yg0ann92nn1i0,2.204,1.566,26
yg0bfn00ln1a0,yg0bfn00nn1a0,0.464,1.566,4
yg0bfn00ln1a3,yg0bfn00nn1a3,0.464,1.566,4
yg0bfn00ln1a5,yg0bfn00nn1a5,0.464,1.566,4
yg0bfn00ln1a7,yg0bfn00nn1a7,0.464,1.566,4
yg0bfn00ln1b0,yg0bfn00nn1b0,0.464,1.566,4
yg0bfn00ln1b3,yg0bfn00nn1b3,0.464,1.566,4
yg0bfn00ln1b5,yg0bfn00nn1b5,0.464,1.566,4
yg0bfn00ln1b7,yg0bfn00nn1b7,0.464,1.566,4
yg0bfn00ln1c0,yg0bfn00nn1c0,0.58,1.566,4
yg0bfn00ln1c3,yg0bfn00nn1c3,0.58,1.566,4
yg0bfn00ln1c5,yg0bfn00nn1c5,0.58,1.566,4
yg0bfn00ln1c7,yg0bfn00nn1c7,0.58,1.566,4
yg0bfn00ln1d0,yg0bfn00nn1d0,0.58,1.566,4
yg0bfn00ln1d3,yg0bfn00nn1d3,0.696,1.566,6
yg0bfn00ln1d5,yg0bfn00nn1d5,0.696,1.566,6
yg0bfn00ln1d7,yg0bfn00nn1d7,0.696,1.566,6
yg0bfn00ln1e0,yg0bfn00nn1e0,0.696,1.566,6
yg0bfn00ln1e3,yg0bfn00nn1e3,0.696,1.566,6
yg0bfn00ln1e5,yg0bfn00nn1e5,0.696,1.566,8
yg0bfn00ln1e7,yg0bfn00nn1e7,0.696,1.566,8
yg0bfn00ln1f0,yg0bfn00nn1f0,0.812,1.566,8
yg0bfn00ln1f3,yg0bfn00nn1f3,0.928,1.566,10
yg0bfn00ln1f5,yg0bfn00nn1f5,0.928,1.566,10
yg0bfn00ln1f7,yg0bfn00nn1f7,1.044,1.566,14
yg0bfn00ln1g0,yg0bfn00nn1g0,1.044,1.566,14
yg0bfn00ln1g3,yg0bfn00nn1g3,1.16,1.566,16
yg0bfn00ln1g5,yg0bfn00nn1g5,1.276,1.566,18
yg0bfn00ln1g7,yg0bfn00nn1g7,1.392,1.566,20
yg0bfn00ln1h0,yg0bfn00nn1h0,1.74,1.566,26
yg0bfn00ln1h3,yg0bfn00nn1h3,1.856,1.566,28
yg0bfn00ln1h5,yg0bfn00nn1h5,1.972,1.566,30
yg0bfn00ln1h7,yg0bfn00nn1h7,2.32,1.566,36
yg0bfn00ln1i0,yg0bfn00nn1i0,2.552,1.566,40
yg0bfn00ln1i3,yg0bfn00nn1i3,2.784,1.566,44
yg0bfn00ln1i5,yg0bfn00nn1i5,3.364,1.566,54
yg0bfn00ln1i7,yg0bfn00nn1i7,3.712,1.566,60
yg0bfn00ln1j0,yg0bfn00nn1j0,4.176,1.566,68
yg0bfn00ln1j3,yg0bfn00nn1j3,4.756,1.566,78
yg0bfn00ln1j5,yg0bfn00nn1j5,5.336,1.566,88
yg0bfn00lnpg5,yg0bfn00nnpg5,1.276,1.566,18
yg0bfn00lnpg7,yg0bfn00nnpg7,1.392,1.566,20
yg0bfn00lnph0,yg0bfn00nnph0,1.74,1.566,26
yg0bfn00lnph3,yg0bfn00nnph3,1.856,1.566,28
yg0bfn00lnph5,yg0bfn00nnph5,1.972,1.566,30
yg0bfn00lnph7,yg0bfn00nnph7,2.32,1.566,36
yg0bfn00lnpi0,yg0bfn00nnpi0,2.552,1.566,40
yg0bfn00lnpi3,yg0bfn00nnpi3,2.784,1.566,44
yg0bfn00lnpi5,yg0bfn00nnpi5,3.364,1.566,54
yg0bfn00lnpi7,yg0bfn00nnpi7,3.712,1.566,60
yg0bfn00lnpj0,yg0bfn00nnpj0,4.176,1.566,68
yg0bfn00lnpj3,yg0bfn00nnpj3,4.756,1.566,78
yg0bfn00lnpj5,yg0bfn00nnpj5,5.336,1.566,88
yg0bfn00nn1a0,yg0bfn00nn1a0,0.464,1.566,4
yg0bfn00nn1a3,yg0bfn00nn1a3,0.464,1.566,4
yg0bfn00nn1a5,yg0bfn00nn1a5,0.464,1.566,4
yg0bfn00nn1a7,yg0bfn00nn1a7,0.464,1.566,4
yg0bfn00nn1b0,yg0bfn00nn1b0,0.464,1.566,4
yg0bfn00nn1b3,yg0bfn00nn1b3,0.464,1.566,4
yg0bfn00nn1b5,yg0bfn00nn1b5,0.464,1.566,4
yg0bfn00nn1b7,yg0bfn00nn1b7,0.464,1.566,4
yg0bfn00nn1c0,yg0bfn00nn1c0,0.58,1.566,4
yg0bfn00nn1c3,yg0bfn00nn1c3,0.58,1.566,4
yg0bfn00nn1c5,yg0bfn00nn1c5,0.58,1.566,4
yg0bfn00nn1c7,yg0bfn00nn1c7,0.58,1.566,4
yg0bfn00nn1d0,yg0bfn00nn1d0,0.58,1.566,4
yg0bfn00nn1d3,yg0bfn00nn1d3,0.696,1.566,6
yg0bfn00nn1d5,yg0bfn00nn1d5,0.696,1.566,6
yg0bfn00nn1d7,yg0bfn00nn1d7,0.696,1.566,6
yg0bfn00nn1e0,yg0bfn00nn1e0,0.696,1.566,6
yg0bfn00nn1e3,yg0bfn00nn1e3,0.696,1.566,6
yg0bfn00nn1e5,yg0bfn00nn1e5,0.696,1.566,8
yg0bfn00nn1e7,yg0bfn00nn1e7,0.696,1.566,8
yg0bfn00nn1f0,yg0bfn00nn1f0,0.812,1.566,8
yg0bfn00nn1f3,yg0bfn00nn1f3,0.928,1.566,10
yg0bfn00nn1f5,yg0bfn00nn1f5,0.928,1.566,10
yg0bfn00nn1f7,yg0bfn00nn1f7,1.044,1.566,14
yg0bfn00nn1g0,yg0bfn00nn1g0,1.044,1.566,14
yg0bfn00nn1g3,yg0bfn00nn1g3,1.16,1.566,16
yg0bfn00nn1g5,yg0bfn00nn1g5,1.276,1.566,18
yg0bfn00nn1g7,yg0bfn00nn1g7,1.392,1.566,20
yg0bfn00nn1h0,yg0bfn00nn1h0,1.74,1.566,26
yg0bfn00nn1h3,yg0bfn00nn1h3,1.856,1.566,28
yg0bfn00nn1h5,yg0bfn00nn1h5,1.972,1.566,30
yg0bfn00nn1h7,yg0bfn00nn1h7,2.32,1.566,36
yg0bfn00nn1i0,yg0bfn00nn1i0,2.552,1.566,40
yg0bfn00nn1i3,yg0bfn00nn1i3,2.784,1.566,44
yg0bfn00nn1i5,yg0bfn00nn1i5,3.364,1.566,54
yg0bfn00nn1i7,yg0bfn00nn1i7,3.712,1.566,60
yg0bfn00nn1j0,yg0bfn00nn1j0,4.176,1.566,68
yg0bfn00nn1j3,yg0bfn00nn1j3,4.756,1.566,78
yg0bfn00nn1j5,yg0bfn00nn1j5,5.336,1.566,88
yg0bfn00nnpg5,yg0bfn00nnpg5,1.276,1.566,18
yg0bfn00nnpg7,yg0bfn00nnpg7,1.392,1.566,20
yg0bfn00nnph0,yg0bfn00nnph0,1.74,1.566,26
yg0bfn00nnph3,yg0bfn00nnph3,1.856,1.566,28
yg0bfn00nnph5,yg0bfn00nnph5,1.972,1.566,30
yg0bfn00nnph7,yg0bfn00nnph7,2.32,1.566,36
yg0bfn00nnpi0,yg0bfn00nnpi0,2.552,1.566,40
yg0bfn00nnpi3,yg0bfn00nnpi3,2.784,1.566,44
yg0bfn00nnpi5,yg0bfn00nnpi5,3.364,1.566,54
yg0bfn00nnpi7,yg0bfn00nnpi7,3.712,1.566,60
yg0bfn00nnpj0,yg0bfn00nnpj0,4.176,1.566,68
yg0bfn00nnpj3,yg0bfn00nnpj3,4.756,1.566,78
yg0bfn00nnpj5,yg0bfn00nnpj5,5.336,1.566,88
yg0bfn10ln1a0,yg0bfn10nn1a0,0.464,1.566,4
yg0bfn10ln1a5,yg0bfn10nn1a5,0.464,1.566,4
yg0bfn10ln1b0,yg0bfn10nn1b0,0.464,1.566,4
yg0bfn10ln1b5,yg0bfn10nn1b5,0.464,1.566,4
yg0bfn10ln1c0,yg0bfn10nn1c0,0.58,1.566,4
yg0bfn10ln1c5,yg0bfn10nn1c5,0.58,1.566,4
yg0bfn10ln1d0,yg0bfn10nn1d0,0.58,1.566,6
yg0bfn10ln1d5,yg0bfn10nn1d5,0.696,1.566,6
yg0bfn10ln1e0,yg0bfn10nn1e0,0.696,1.566,6
yg0bfn10ln1e5,yg0bfn10nn1e5,0.812,1.566,8
yg0bfn10ln1f0,yg0bfn10nn1f0,0.812,1.566,10
yg0bfn10ln1f5,yg0bfn10nn1f5,0.928,1.566,10
yg0bfn10ln1g0,yg0bfn10nn1g0,1.276,1.566,18
yg0bfn10ln1g5,yg0bfn10nn1g5,1.392,1.566,20
yg0bfn10ln1h0,yg0bfn10nn1h0,1.74,1.566,26
yg0bfn10ln1h5,yg0bfn10nn1h5,2.088,1.566,32
yg0bfn10ln1i0,yg0bfn10nn1i0,2.668,1.566,42
yg0bfn10ln1i5,yg0bfn10nn1i5,3.596,1.566,58
yg0bfn10ln1j0,yg0bfn10nn1j0,4.292,1.566,70
yg0bfn10nn1a0,yg0bfn10nn1a0,0.464,1.566,4
yg0bfn10nn1a5,yg0bfn10nn1a5,0.464,1.566,4
yg0bfn10nn1b0,yg0bfn10nn1b0,0.464,1.566,4
yg0bfn10nn1b5,yg0bfn10nn1b5,0.464,1.566,4
yg0bfn10nn1c0,yg0bfn10nn1c0,0.58,1.566,4
yg0bfn10nn1c5,yg0bfn10nn1c5,0.58,1.566,4
yg0bfn10nn1d0,yg0bfn10nn1d0,0.58,1.566,6
yg0bfn10nn1d5,yg0bfn10nn1d5,0.696,1.566,6
yg0bfn10nn1e0,yg0bfn10nn1e0,0.696,1.566,6
yg0bfn10nn1e5,yg0bfn10nn1e5,0.812,1.566,8
yg0bfn10nn1f0,yg0bfn10nn1f0,0.812,1.566,10
yg0bfn10nn1f5,yg0bfn10nn1f5,0.928,1.566,10
yg0bfn10nn1g0,yg0bfn10nn1g0,1.276,1.566,18
yg0bfn10nn1g5,yg0bfn10nn1g5,1.392,1.566,20
yg0bfn10nn1h0,yg0bfn10nn1h0,1.74,1.566,26
yg0bfn10nn1h5,yg0bfn10nn1h5,2.088,1.566,32
yg0bfn10nn1i0,yg0bfn10nn1i0,2.668,1.566,42
yg0bfn10nn1i5,yg0bfn10nn1i5,3.596,1.566,58
yg0bfn10nn1j0,yg0bfn10nn1j0,4.292,1.566,70
yg0bfn11ln1a0,yg0bfn11nn1a0,0.464,1.566,6
yg0bfn11ln1b0,yg0bfn11nn1b0,0.58,1.566,6
yg0bfn11ln1c0,yg0bfn11nn1c0,0.696,1.566,6
yg0bfn11ln1d0,yg0bfn11nn1d0,0.696,1.566,6
yg0bfn11ln1e0,yg0bfn11nn1e0,0.812,1.566,8
