Flow,Error Code,finish,lor1_signoff,Comment,Description
DVE,AN_01,enable,enable,,AN_01: all diffcons in A-320nm region must be on same grid as D 160nm region
DVE,AN_02,enable,enable,,AN_02: only poly pitch = AN_02
DVE,AN_03/AN_04/AN_05,enable,enable,,AN_03/AN_04/AN_05: only poly width = AN_03 or AN_04 or AN_05
DVE,AN_06,enable,enable,,AN_06: poly gate centerline space to TCN side = AN_06
DVE,AN_07,enable,enable,,AN_07: Total number of poly side-side spacing in analog must be an odd number
DVE,AN_08,enable,enable,,AN_08: min poly length = AN_08
DVE,AN_09,enable,enable,,AN_09: poly end-to-end < AN_09
DVE,AN_10,enable,enable,,AN_10: poly end-to-end > AN_10
DVE,AN_11,enable,enable,,AN_11: min poly endcap = AN_11
DVE,AN_21,enable,enable,,AN_21: min overlap adj SR gate dir = AN_21
DVE,AN_22,enable,enable,,AN_22: min separation between any non-adj. SR = AN_22
DVE,AN_32,enable,enable,,AN_32: only non-stacked-gate S/D diff enc of TCN side = AN_32
DVE,AN_33,enable,enable,,AN_33: only tap diff enc of TCN side = AN_33
DVE,AN_34,enable,enable,,"AN_34: only non-stacked gate S/D extent (N,P) = AN_34"
DVE,AN_35,enable,enable,,AN_35: min tap to transistor space (same well) = AN_35
DVE,AN_41,enable,enable,,AN_41: min polycon_A side enclosure by poly end = AN_41
DVE,AN_42,enable,enable,,AN_42: min polycon side space to poly line-end = AN_42
DVE,AN_43,enable,enable,,AN_43: min polycon end space to poly side = AN_43
DVE,AN_44,enable,enable,,AN_44: min poly side enclosure by polycon_A end = AN_44
DVE,AN_90,enable,enable,,AN_90: leftmost and rightmost poly in analog region must be 80nm
DVE,AN_93,enable,enable,,AN_93: polytd encl of non-coincident nwell = AN_93
DVE,AN_93,enable,enable,,AN_93: polytd space to non-coincident nwell edge = AN_93
DVE,AN_94,enable,enable,,AN_94: polytd spacing to non-coincident nwell = AN_94
DVE,AN_95,enable,enable,,AN_95: min required length of coincident nwell and polytd edges = AN_95
DVE,BC_00,enable,enable,,BC_00: All bitcells must be within the 180pitchID layer
DVE,BC_01,enable,enable,,"BC_01: min NWL space to N+ active diff, gate-dir = BC_01"
DVE,BC_02,enable,enable,,"BC_02: min NWL enclosure of P+ active diff, gate-dir = BC_02"
DVE,BC_03,enable,enable,,"BC_03: min NWL width, gate-dir = BC_03"
DVE,BC_11,enable,enable,,"BC_11: min transistor diff width (N,P) = BC_11"
DVE,BC_12,enable,enable,,BC_12: min device width = BC_12 and device length = PL_01
DVE,BC_13,enable,enable,,"BC_13: min transistor diff facing-edge space, gate-dir (P) = BC_13"
DVE,BC_14,enable,enable,,BC_14: min width of single_sided jogged S/D diff (N) = BC_14
DVE,BC_21,enable,enable,,BC_21: min poly endcap = BC_21
DVE,BC_23,enable,enable,,BC_23: SRAM poly space to n-transistor diffusion < BC_23
DVE,BC_31,enable,enable,,BC_31: min diffcon end-to-end space = BC_31
