Toolset	Type	Date	Summary
mat1.5.7.p4	Fixed	2019-09-16	Updated lib_derate_data to include flat_derate.tcl template stub to eliminate gen_collateral fails. Can be modified when CCB is ready to set their derate/POCV strategy. @dfa(lib_derate_data update) @toolset(mat1.5.7.p4) @toolset(mat1.5.9.p1) @public @tfs(https://tfs-fm-03.devtools.intel.com/tfs/Nexus/Nexus/_workitems?_a=edit&id=690)
mat1.5.9.p1	Fixed	2019-09-16	Updated lib_derate_data to include flat_derate.tcl template stub to eliminate gen_collateral fails. Can be modified when CCB is ready to set their derate/POCV strategy. @dfa(lib_derate_data update) @toolset(mat1.5.7.p4) @toolset(mat1.5.9.p1) @public @tfs(https://tfs-fm-03.devtools.intel.com/tfs/Nexus/Nexus/_workitems?_a=edit&id=690)
mat1.5.9.p1	Fixed	2019-09-16	Updated lib_attribute_data for all technologies to refresh DTDU and illegal cell lists. @dfa(lib_attributes_data refresh for DTDU and illegal cells, all techs) @toolset(mat1.5.9.p1) @toolset(mat1.5.7.p4) @public @tfs(https://tfs-fm-03.devtools.intel.com/tfs/Nexus/Nexus/_workitems?_a=edit&id=691)
mat1.5.7.p4	Fixed	2019-09-16	Updated lib_attribute_data for all technologies to refresh DTDU and illegal cell lists. @dfa(lib_attributes_data refresh for DTDU and illegal cells, all techs) @toolset(mat1.5.9.p1) @toolset(mat1.5.7.p4) @public @tfs(https://tfs-fm-03.devtools.intel.com/tfs/Nexus/Nexus/_workitems?_a=edit&id=691)
all	Improved	2019-09-08	Added $HOSTNAME to FEBE shell initialization to support gui interfaces. @dfa(febe gui support) @toolset(all) @public @hsd(https://hsdes.intel.com/appstore/article/#/1409606965)
all	Fixed	2019-09-08	Updated ideal repo finalized stdlib default foo container to be facet based. @dfa(ideal repo default update) @toolset(all)
mat1.5.9.p1	New	2019-09-08	Added 2 new febe stages for REBA flow, syn_dp and dp. @dfa(Activated REBA flow) @toolset(mat1.5.9.p1) @public @hsd(https://hsdes.intel.com/resource/1409535431)
mat1.5.9.p1	Fixed	2019-09-08	Upgraded review from 19.01.001 to 19.03.009 to resolve febe_config bug @isfast(review update for febe integration bug) @toolset(mat1.5.9.p1) @public @hsd(https://hsdes.intel.com/appstore/article/#/1406327746)
m1713f.p7	Improved	2019-09-04	Set default s14nm values for G_AON_BUFFER/G_AON_INVERTER to buffer AON signal @dfa(s14nm added defaults) @toolset(m1713f.p7) @public
mat1.4L.11	Improved	2019-09-04	Upgraded ctech/ctech_exp from c3v18ww37b to c3v18ww37e versions to intercept lintra waiver improvement. @dfa(Minor ctech enhancement) @toolset(mat1.4L.11) @public @hsd(https://hsdes.intel.com/resource/1607457536)
mat1.5.7.p4	Fixed	2019-09-04	Updated comments for sd_build upgrade to cover additional hsd for iPDS. @dfa(ipds bug fix) @toolset(mat1.5.7.p4) @toolset(mat1.5.3.p2) @public @hsd(https://hsdes.intel.com/appstore/article/#/1605366383)
mat1.5.3.p2	Fixed	2019-09-04	Updated comments for sd_build upgrade to cover additional hsd for iPDS. @dfa(ipds bug fix) @toolset(mat1.5.7.p4) @toolset(mat1.5.3.p2) @public @hsd(https://hsdes.intel.com/appstore/article/#/1605366383)
Unknown	Unknown	2019-09-04	Fixed some ctech waivers
mat1.4L.11.p2	New	2019-09-04	Initialized mat1.4L.11.p2 toolset. @dfa(adplp toolset patch) @toolset(mat1.4L.11.p2) @public
mat1.4L.11.p2	Improved	2019-09-04	Upgraded all p1273.1 configulate files to latest versions for ADPLP/Caliber. @dfa(p1273.1/ADPLP configulate) @toolset(mat1.4L.11.p2) @hsd(https://hsdes.intel.com/appstore/article/#/1409666155)
mat1.4L.11.p2	Improved	2019-09-02	Upgraded sd_build from 17.4.2.3 to 17.4.2.p21 to intercept several bug fixes and enable MCPBUF FDR exception generation to handle the IPs that uniquify lib_bb_buf usage. @dfa(MCPBUF FDR generation) @toolset(mat1.4L.11.p2) @public @hsd(https://hsdes.intel.com/resource/1409790962)
mat1.4L.11.p2	Fixed	2019-09-02	Applied correct 1.785v corner default for p1273.1 thick gate variant @dfa(p1273.1 dc gd fix) @toolset(mat1.4L.11.p2)
mat1.4L.11.p2	Fixed	2019-09-02	Turned off implicit supply creation by default to support UPF2.0 template used at time of toolset creation (backward compatability with new sd_build version). @dfa(dc default update) @toolset(mat1.4L.11.p2) @public
mat1.4L.11.p2	New	2019-09-02	Initialized mat1.4L.11.p2 toolset. @dfa(adplp toolset patch) @toolset(mat1.4L.11.p2) @public
Unknown	Fixed	2019-09-02	TsaContourData conflict merge
all	Fixed	2019-09-02	TDD passes, generated files commit. @dfa(tdd clean) @toolset(all)
mat1.5.9.p1	Fixed	2019-09-02	Upgraded rdt_sd_common_overrides from siphdk_mat15_19.33.00 to siphdk_mat15_19.36.00 to locally resolve TEST-120 issues during DC insert_dft @dfa(insert dft bug fix for ec0pp60) @toolset(mat1.5.9.p1) @public
mat1.5.3.p2	Improved	2019-09-02	Upgraded sd_build from 18.3.1.1 to 18.3.1.p5 to handle MCPBUF FDR exception generation to handle the IPs that have uniquified lib_bb_buf usage. @dfa(MCPBUF FDR generation) @toolset(mat1.5.3.p2) @public @hsd(https://hsdes.intel.com/resource/1409790962)
mat1.5.7.p4	Improved	2019-09-02	Upgraded sd_build from 18.3.1.p2 to 18.3.1.p5 to handle MCPBUF FDR exception generation to handle the IPs that have uniquified lib_bb_buf usage. @dfa(MCPBUF FDR generation) @toolset(mat1.5.7.p4) @public @hsd(https://hsdes.intel.com/resource/1409790962)
mat1.5.9.p1	Improved	2019-09-02	Enabled p1276.21/p1276.31 dn variant for mat1.5.9.p1. Zirconqa unit tests pass. @dfa(p1276 variant add) @toolset(mat1.5.9.p1)
all	Fixed	2019-09-02	TDD passes, generated files commit. @dfa(tdd clean) @toolset(all)
all	Fixed	2019-09-02	Updated run_simple_tdd_tests to only show failing tests in the passing summary. Before, only passing tests on m1713f were listed because that is the last tech with a done_testing() call. @dfa(test flow improvement) @toolset(all)
mat1.5.7.p3	Fixed	2019-09-02	Snapshot footer typo for mat1.5.7.p3. @dfa(snapshot call fix) @toolset(mat1.5.7.p3)
mat1.5.7.p4	Fixed	2019-09-02	Fixed typo in backend toolset for mat1.5.7.p4 dependency. @dfa(tdd fix) @toolset(mat1.5.7.p4)
mat1.5.3.p2	Fixed	2019-09-02	Fixed typo in mat1.5.3.p2 toolset dependency. @dfa(tdd fix) @toolset(mat1.5.3.p2)
mat1.5.9.p1	Improved	2019-09-02	Updated mat1.5.9.p1 backend configurations to QUAL3 stubs for sd_build, reba, and caliber updates. @dfa(be configuration update) @toolset(mat1.5.9.p1)
mat1.5.7.p4	New	2019-09-02	Initialized mat1.5.7.p4 toolset for sd_build update. @dfa(new toolset) @toolset(mat1.5.7.p4) @public
mat1.5.3.p2	New	2019-09-02	Initialized mat1.5.3.p2 toolset for sd_build update. @dfa(new toolset) @toolset(mat1.5.3.p2) @public
